case_index,sweep,label,seed,interval_days,start_policy,profit_trigger,dd_trigger,min_days,dd,frozen_floor,cost,withdraw_chunk,withdraw_step,seat_cap,split,n_book_windows,horizon_years,book_start_first,book_start_last,overlapping_windows,in_sample,cash_p10,cash_median,withdrawable_p10,withdrawable_median,payout_received_median,realized_p10,realized_median,cashout_p10,cashout_median,cashout_below_water_rate,mark_p10,mark_median,mark_below_water_rate,ruin_rate,wipeout_rate,shock_5plus_rate,full_collapse_5plus_rate,worst_cluster,worst_wipe,seats_bought_median,live_seats_median,dd_same_price_diagnostic,simulator_sha256
28,start_trigger,profit trigger $400,3000.000000,30,profit,400.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,1680.000000,30100.000000,310.625000,17014.150000,31700.000000,-1320.000000,27100.000000,-1152.365000,60727.675000,0.222222,10014.040000,104091.700000,0.055556,0.000000,0.500000,0.555556,0.000000,6,4,25.000000,16.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
29,start_trigger,profit trigger $800,3000.000000,30,profit,800.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,2400.000000,18000.000000,172.130000,10000.050000,17800.000000,-600.000000,15000.000000,-460.000000,33957.825000,0.222222,6501.855000,61724.225000,0.055556,0.000000,0.500000,0.000000,0.000000,4,3,17.000000,10.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
30,start_trigger,"profit trigger $1,000",3000.000000,30,profit,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,2400.000000,15600.000000,172.130000,8562.800000,14900.000000,-600.000000,12600.000000,-422.830000,28510.675000,0.222222,5500.595000,50470.500000,0.055556,0.000000,0.500000,0.000000,0.000000,3,2,14.000000,8.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
31,start_trigger,"profit trigger $1,500",3000.000000,30,profit,1500.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,2800.000000,12000.000000,172.130000,5963.675000,10600.000000,-200.000000,9000.000000,32.130000,20193.200000,0.111111,4040.995000,36015.450000,0.055556,0.000000,0.500000,0.000000,0.000000,3,2,10.000000,5.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
32,start_trigger,"profit trigger $2,500",3000.000000,30,profit,2500.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,3340.000000,9100.000000,172.130000,4334.400000,7200.000000,340.000000,6100.000000,486.730000,13835.175000,0.055556,3606.535000,23588.950000,0.055556,0.000000,0.500000,0.000000,0.000000,2,1,6.000000,4.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
33,start_trigger,drawdown trigger $200,3000.000000,30,dd,1000.000000,200.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,51700.000000,0.000000,30581.675000,56000.000000,-3000.000000,48700.000000,-3000.000000,97563.125000,0.277778,-3000.000000,149563.125000,0.277778,0.277778,0.277778,0.500000,0.055556,15,15,20.000000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
34,start_trigger,drawdown trigger $400,3000.000000,30,dd,1000.000000,400.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,47900.000000,0.000000,31177.025000,51900.000000,-3000.000000,44900.000000,-3000.000000,89490.025000,0.333333,-3000.000000,141490.025000,0.333333,0.333333,0.333333,0.500000,0.111111,15,15,20.000000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
35,start_trigger,drawdown trigger $800,3000.000000,30,dd,1000.000000,800.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,46700.000000,0.000000,32105.275000,50300.000000,-3000.000000,43700.000000,-3000.000000,85809.425000,0.277778,-3000.000000,137809.425000,0.277778,0.277778,0.277778,0.500000,0.111111,15,7,20.000000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
36,start_trigger,"drawdown trigger $1,200",3000.000000,30,dd,1000.000000,1200.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,0.000000,45700.000000,0.000000,31811.375000,48900.000000,-3000.000000,42700.000000,-3000.000000,87107.600000,0.333333,-3000.000000,139107.600000,0.333333,0.333333,0.333333,0.500000,0.222222,15,12,20.000000,20.000000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
37,start_trigger,"drawdown trigger $2,000",3000.000000,30,dd,1000.000000,2000.000000,1,2500.000000,100.000000,200.000000,200.000000,400.000000,20,1.000000,18,2.000000,2020-04-01,2024-07-01,True,True,5100.000000,23400.000000,0.000000,16636.175000,24400.000000,2100.000000,20400.000000,2380.000000,41563.725000,0.111111,12504.125000,64182.000000,0.055556,0.055556,0.055556,0.666667,0.000000,15,1,21.000000,11.500000,False,4dbf14d8ca774c3bc096b838489211273133addf2b49d113730f7d85c77bf4a0
