Time,Category,Message,
27.08.2026 21:07:10,Order,Order='2876285249/PA-APEX-240737-10' Name='' New state='Working' Instrument='MNQ SEP26' Action='Buy' Limit price=29588.5 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:07:10,Order,Order='2876285249/PA-APEX-240737-10' Name='' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29588.5 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:07:10,Order,Order='31a6c1e3493d4dae9cd2d5058fd10fc2/PA-APEX-240737-10' Name='' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29588.5 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 21:07:10,Order,Chart Trader submitting order without strategy,
27.08.2026 21:00:00,Order,Order='2876227586/PA-APEX-240737-09' Name='Long1_1' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29659 Stop price=29659 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 20:59:59,Order,Order='2876227586/PA-APEX-240737-09' Name='Long1_1' New state='Change submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29659 Stop price=29659 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 20:30:00,Order,Order='2876227586/PA-APEX-240737-09' Name='Long1_1' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=29678.25 Stop price=29678.25 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 20:30:00,Order,Order='2621219de2be4a5f9e8fa914f46fa6e2/PA-APEX-240737-09' Name='Long1_1' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=29678.25 Stop price=29678.25 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 20:30:00,NinjaScript,NinjaScript strategy 'RRLongTimeWinStopLimitTPlimitGAPWindowRROffsetsSafeExitsRouted/250203019' submitting order,
27.08.2026 19:38:01,Order,Order='2876156350/PA-APEX-240737-10' Name='StopLimit_2' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=29573 Stop price=29573 Quantity=1 Type='Stop Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
27.08.2026 19:38:01,Position,Instrument='MNQ SEP26' Account='PA-APEX-240737-10' Average price=29634.5 Quantity=1 Market position=Long Operation=Operation_Add,
